"Nombre","CodigoBarra","Categoria","FechaCaducidad","Marca","Precio","Stock"
"Costilla Cerdo","75088308806","Carnes","2027-03-08","Bimbo","116.86","288"
"Aceite Aguacate 1L","75080770243","Aceites","2027-06-24","McCormick","9.88","34"
"Espinaca 1kg","75092702896","Verduras","2027-11-09","Coca Cola","41.83","449"
"Te Helado 1L","75025516731","Bebidas","2027-08-07","Quaker","2.51","423"
"Tortilla Maiz 100g","75064535139","Panaderia","2026-11-03","La Costena","52.61","222"
"Costilla Cerdo 2kg","75097995447","Carnes","2027-11-10","Gallo","28.54","300"
"Gatorade 600ml #486","75076793101","Bebidas","2026-05-11","Bayer","126.64","431"
"Arroz Integral 250g","75090614137","Granos","2026-03-27","Ducal","44.69","395"
"Galleta Maria 750ml","75041613051","Panaderia","2026-12-26","Ducal","34.67","12"
"Baguette","75064829306","Panaderia","2027-01-24","Nestle","82.79","422"
"Jugo Naranja 1L","75026553208","Bebidas","2027-12-16","Quaker","49.81","304"
"Costilla Cerdo 500g","75036793973","Carnes","2026-07-11","Procter","137.7","137"
"Bistec Res 100g","75017858066","Carnes","2026-05-18","Nestle","30.05","356"
"Baguette 12u #923","75085493514","Panaderia","2026-11-07","Coca Cola","78.2","75"
"Cheetos 3u","75069576665","Snacks","2026-01-13","Colgate","53.73","154"
"Baguette 500ml #919","75089913397","Panaderia","2027-08-05","Bimbo","132.24","33"
"Queso Cheddar #404","75072046844","Lacteos","2026-04-05","La Costena","141.22","486"
"Pan Blanco 3u","75042637734","Panaderia","2026-12-08","Nestle","117.43","203"
"Pepsi 6u","75046125168","Bebidas","2026-02-07","Lipton","101.17","54"
"Aceite Coco 1kg","75096189689","Aceites","2027-07-18","Kern","106.89","329"
"Pan Blanco 1L","75037295414","Panaderia","2026-01-01","Del Monte","11.85","378"
"Esponja 3u","75047960201","Limpieza","2026-01-18","Lipton","17.84","53"
"Pan Frances 500ml","75067058049","Panaderia","2026-08-06","Colgate","29.82","421"
"Pan Integral 200ml #889","75056404322","Panaderia","2027-05-16","Quaker","99.98","63"
"Queso Fresco 200g","75084458348","Lacteos","2027-08-17","Nestle","106.8","409"
"Palomitas 1L","75076443470","Snacks","2027-11-21","Unilever","21.98","263"
"Papel Higienico 1L","75023727158","Higiene","2026-06-09","Kelloggs","53.26","15"
"Pan Dulce 250g","75016871740","Panaderia","2027-06-12","Knorr","85.89","353"
"Brocoli 200g","75013192520","Verduras","2027-09-18","Procter","119.55","286"
"Aceite Aguacate 12u","75019975540","Aceites","2027-12-07","Bayer","65.71","219"
"Carne Molida 100g","75070345700","Carnes","2026-04-16","Knorr","136.17","44"
"Manteca Vegetal 6u","75072013148","Aceites","2027-07-09","Lipton","78.64","235"
"Shampoo 6u","75040717219","Higiene","2027-04-27","Del Monte","19.85","71"
"Bistec Res 250g","75041283007","Carnes","2027-05-22","Kelloggs","122.46","34"
"Croissant 250g","75095457953","Panaderia","2027-10-01","Bimbo","7.13","453"
"Pechuga Pollo 500ml","75056793145","Carnes","2027-04-20","Lipton","38.16","334"
"Agua Pura 600ml","75090501372","Bebidas","2027-02-13","Bimbo","87.46","341"
"Esponja 1kg","75048322452","Limpieza","2026-12-20","La Costena","142.55","118"
"Zanahoria 6u","75013398580","Verduras","2026-01-27","Nestle","93.43","426"
"Chocolates 100g","75089405071","Snacks","2026-06-19","Maggi","139.0","345"
"Tortilla Harina 12u #511","75014276313","Panaderia","2027-01-27","Unilever","25.46","174"
"Chocolates 6u","75098404510","Snacks","2027-07-06","Lipton","143.65","42"
"Shampoo 350ml","75026943031","Higiene","2026-03-12","Parma","68.5","107"
"Aceite Maiz 250ml","75030704084","Aceites","2027-12-01","Parma","102.05","314"
"Jugo Naranja 1u","75045792142","Bebidas","2026-04-07","Colgate","30.89","299"
"Leche Entera 500g","75038107684","Lacteos","2027-08-23","Colgate","13.86","406"
"Jamon Pavo 1kg #559","75054090361","Carnes","2027-03-04","Del Monte","85.8","79"
"Queso Cheddar 12u","75021016620","Lacteos","2026-10-02","Gallo","13.87","57"
"Pepino 200ml #1016","75082850961","Verduras","2027-05-15","Colgate","106.82","279"
"Pan Integral 200ml","75088906557","Panaderia","2027-09-07","La Costena","148.54","237"
"Cafe Frio 750ml","75093240527","Bebidas","2026-05-13","Bayer","60.25","286"
"Melon 2kg","75063632138","Frutas","2027-02-16","Parma","45.82","442"
"Arroz Blanco 600ml","75013451736","Granos","2027-04-05","Maggi","74.37","217"
"Brocoli 6u","75035780229","Verduras","2027-01-28","Kelloggs","109.85","45"
"Jabon Bano 1u","75090090127","Higiene","2027-02-16","Lipton","31.26","216"
"Arroz Blanco 350ml","75036286517","Granos","2026-08-26","Lipton","62.46","397"
"Detergente Ropa 200g","75099751616","Limpieza","2027-02-17","Kelloggs","82.14","365"
"Uva Verde 3u #584","75069522299","Frutas","2027-09-18","Bimbo","84.06","332"
"Sandia 2kg","75056336167","Frutas","2027-04-08","Bayer","118.14","54"
"Papas Fritas 12u","75055036706","Snacks","2027-10-03","Lipton","66.93","462"
"Galletas Oreo 500g","75062969120","Snacks","2026-06-14","Kelloggs","29.49","345"
"Acondicionador 500ml","75050876744","Higiene","2026-06-21","McCormick","7.86","29"
"Croissant 2kg","75087137602","Panaderia","2026-09-18","Bayer","55.89","322"
"Pan Blanco 500g","75091358422","Panaderia","2027-04-10","Gallo","22.95","491"
"Lenteja Roja 350ml","75039094173","Granos","2026-01-09","Bimbo","38.0","144"
"Chile Jalapeno 1kg","75078941809","Verduras","2026-10-20","McCormick","59.87","498"
"Lechuga 250ml","75027937938","Verduras","2026-08-02","Kern","124.6","86"
"Baguette 2kg","75099182247","Panaderia","2026-01-14","Procter","76.01","29"
"Carne Molida 750ml","75019665475","Carnes","2026-03-08","Kelloggs","135.01","38"
"Aceite Coco 750ml","75073069676","Aceites","2026-04-07","Coca Cola","73.33","278"
"Pan Frances 1L","75094171967","Panaderia","2026-03-10","Colgate","102.75","480"
"Mantequilla 6u","75040643649","Lacteos","2027-04-24","Knorr","36.78","181"
"Galleta Maria 1kg #914","75039931536","Panaderia","2027-04-01","Unilever","38.08","439"
"Papaya 750ml","75046359791","Frutas","2027-02-26","Kelloggs","148.35","312"
"Baguette 500g #922","75078809414","Panaderia","2027-11-14","Pilsener","80.74","49"
"Jugo Naranja 12u","75039307600","Bebidas","2026-07-03","Knorr","5.41","429"
"Arroz Blanco 250g","75088780458","Granos","2026-05-22","Nestle","3.2","158"
"Pan Integral 500ml","75062294369","Panaderia","2026-07-12","Del Monte","101.42","418"
"Mantequilla 500g","75070478485","Lacteos","2027-03-14","Colgate","77.17","51"
"Aceite Maiz 12u #1044","75047424965","Aceites","2027-09-25","Ducal","75.16","382"
"Espinaca 500g","75063421020","Verduras","2027-05-28","Parma","57.36","298"
"Leche Chocolate 350ml","75058097903","Lacteos","2027-04-13","McCormick","88.22","430"
"Papa 1u","75081205030","Verduras","2027-02-21","Knorr","95.58","254"
"Cebolla 250ml #999","75078493624","Verduras","2027-10-04","Colgate","38.39","185"
"Lechuga 12u #623","75059277549","Verduras","2026-12-23","Coca Cola","66.11","454"
"Esponja 1u","75081861706","Limpieza","2026-11-20","Kern","61.02","237"
"Pretzels 200g","75061274601","Snacks","2027-09-21","Pilsener","116.31","311"
"Espinaca 200g","75043210712","Verduras","2027-04-27","Gallo","101.5","181"
"Limonada 3u","75022151635","Bebidas","2026-04-11","Parma","87.74","450"
"Tortilla Maiz 750ml","75037041451","Panaderia","2026-07-26","Nestle","65.49","424"
"Trapeador 500ml","75012575600","Limpieza","2026-11-04","Maggi","136.55","353"
"Galletas Oreo 1kg","75033099992","Snacks","2027-08-23","Procter","76.99","393"
"Limonada 12u","75088904062","Bebidas","2026-04-07","Procter","104.99","338"
"Chile Jalapeno 3u","75066769606","Verduras","2026-03-15","Colgate","53.76","273"
"Tomate 100g","75031117707","Verduras","2026-06-25","Coca Cola","38.23","372"
"Enjuague Bucal 100g","75043848376","Higiene","2026-02-13","Colgate","32.19","462"
"Leche Descremada 500ml","75059335283","Lacteos","2026-03-14","Nestle","64.41","439"
"Jamon Pavo 6u","75078929121","Carnes","2027-12-24","La Costena","38.79","444"
"Pina 100g","75076451527","Frutas","2027-04-03","Kelloggs","108.0","256"
"Brocoli 600ml","75092023331","Verduras","2027-04-16","La Costena","79.45","258"
"Pan Frances #505","75017928264","Panaderia","2027-01-04","Coca Cola","34.53","202"
"Papaya 1kg","75075302740","Frutas","2026-09-12","Coca Cola","67.6","212"
"Chocolates 600ml","75015518200","Snacks","2026-11-24","Nestle","4.17","19"
"Cacahuates 1u","75059823605","Snacks","2027-11-05","Del Monte","55.34","105"
"Frijol Rojo 1kg","75016939000","Granos","2027-01-08","Gallo","109.58","428"
"Pepino 750ml","75098952173","Verduras","2026-02-04","Kern","118.35","431"
"Fresa 12u","75091783137","Frutas","2026-02-24","Knorr","7.12","163"
"Agua Pura 12u","75067374231","Bebidas","2026-08-19","Coca Cola","79.9","109"
"Aceite Vegetal 3u","75096340450","Aceites","2027-04-13","Gallo","3.91","276"
"Limonada 6u #876","75059620544","Bebidas","2027-11-24","Pilsener","26.39","128"
"Pepsi","75073464921","Bebidas","2027-04-19","Bayer","127.01","76"
"Jugo Manzana 100g","75030890699","Bebidas","2027-08-12","Nestle","52.84","463"
"Pan Dulce 500g","75081444295","Panaderia","2027-04-24","McCormick","121.22","475"
"Queso Cheddar 2kg","75068957400","Lacteos","2026-02-12","Pilsener","68.47","46"
"Aceite Vegetal","75068732070","Aceites","2026-08-23","Ducal","72.95","370"
"Queso Mozzarella 200ml","75047210677","Lacteos","2026-07-16","Kern","48.22","334"
"Aceite Girasol 500g","75090576696","Aceites","2026-06-20","La Costena","134.44","492"
"Crema Agria 3u","75094419981","Lacteos","2027-12-07","Quaker","122.32","66"
"Cacahuates 3u","75094669212","Snacks","2026-11-10","Nestle","82.97","76"
"Pretzels 1L","75080991898","Snacks","2027-09-22","Knorr","137.19","163"
"Costilla Cerdo 250g","75073466204","Carnes","2027-08-01","Lipton","75.18","344"
"Brocoli 100g","75011772444","Verduras","2027-11-18","Nestle","123.49","442"
"Tocino 350ml","75056522508","Carnes","2026-04-26","Coca Cola","81.41","399"
"Pechuga Pollo 200ml","75030214606","Carnes","2026-08-05","Knorr","148.64","139"
"Jugo Naranja 350ml","75088485940","Bebidas","2026-06-02","Lipton","78.87","360"
"Escoba 500ml","75022276090","Limpieza","2027-01-06","Del Monte","54.11","351"
"Gomitas 500ml","75019752961","Snacks","2026-07-01","McCormick","49.57","460"
"Bolsa Basura 1kg","75091321166","Limpieza","2026-04-07","La Costena","144.8","167"
"Aceite Maiz 200g","75069349665","Aceites","2027-11-10","Nestle","123.98","292"
"Jamon Pavo 2kg","75037663770","Carnes","2027-02-28","Knorr","145.46","121"
"Esponja 1L","75077082565","Limpieza","2026-04-07","Pilsener","26.1","218"
"Aceite Girasol 500ml","75088398857","Aceites","2026-10-25","Unilever","96.39","240"
"Queso Mozzarella","75075382364","Lacteos","2026-09-06","Del Monte","129.59","92"
"Galletas Oreo 500ml","75084433234","Snacks","2027-09-27","Procter","83.59","87"
"Cheetos 2kg","75052620123","Snacks","2026-01-08","Del Monte","23.0","34"
"Costilla Cerdo 1L","75079255894","Carnes","2027-05-05","Quaker","118.29","360"
"Cebolla 250ml #612","75034516662","Verduras","2027-11-12","Procter","101.85","157"
"Pepsi 2kg","75087789976","Bebidas","2027-02-04","Maggi","96.38","218"
"Tortilla Harina 250g #510","75061507472","Panaderia","2027-08-18","Bayer","116.37","80"
"Melon 250g","75055773012","Frutas","2027-04-20","Coca Cola","75.81","43"
"Aceite Sesamo 200g","75096500644","Aceites","2027-03-24","Pilsener","149.79","138"
"Pan Integral 750ml","75090627379","Panaderia","2027-11-25","Del Monte","129.43","8"
"Garbanzo 3u","75028168608","Granos","2027-06-12","Nestle","57.52","91"
"Uva Verde 750ml #966","75095251129","Frutas","2026-08-24","Nestle","82.45","258"
"Jamon Pavo 12u","75023577607","Carnes","2026-02-13","Colgate","62.05","370"
"Cebolla 600ml","75014087949","Verduras","2027-02-20","Coca Cola","68.66","466"
"Leche Descremada 2kg","75052715478","Lacteos","2027-10-12","Lipton","82.08","157"
"Toallas Humedas 500ml","75040226553","Higiene","2027-01-17","Bimbo","58.67","197"
"Pepino 1kg","75061159917","Verduras","2027-12-02","Nestle","59.81","425"
"Tomate 1kg","75071462420","Verduras","2026-05-15","Quaker","118.94","137"
"Cebada 500g","75096913532","Granos","2026-08-02","Gallo","119.06","352"
"Melon 600ml","75076316619","Frutas","2026-04-01","Lipton","70.82","299"
"Longaniza 1kg","75019086084","Carnes","2027-02-02","McCormick","29.84","241"
"Enjuague Bucal 250g","75079793946","Higiene","2026-09-05","Colgate","87.57","373"
"Frijol Negro 1kg","75042186748","Granos","2026-11-28","Del Monte","117.21","94"
"Aceite Soya 500ml","75034295314","Aceites","2026-01-05","Bayer","117.48","196"
"Carne Molida 100g #543","75029089357","Carnes","2027-04-11","Coca Cola","104.72","312"
"Cebada 1L","75091828082","Granos","2027-05-05","Gallo","23.08","161"
"Arroz Blanco 200g","75043707835","Granos","2026-12-12","Pilsener","3.22","297"
"Uva Verde 500g #587","75018022329","Frutas","2026-04-20","La Costena","45.41","264"
"Pan Centeno 350ml","75011066085","Panaderia","2026-02-18","Gallo","83.44","130"
"Brocoli 500ml","75087031543","Verduras","2026-04-02","Maggi","119.86","84"
"Pan Integral 1u","75010529772","Panaderia","2027-07-25","Quaker","123.62","55"
"Cacahuates 12u","75013622012","Snacks","2027-11-01","Unilever","105.74","308"
"Desodorante 1L","75014648468","Higiene","2027-01-17","Quaker","51.14","128"
"Salchicha 500ml #949","75075077280","Carnes","2027-12-18","Maggi","17.11","473"
"Queso Cheddar 500ml #403","75081580479","Lacteos","2026-03-26","Ducal","34.62","31"
"Chorizo 3u #941","75013999183","Carnes","2027-11-28","Quaker","90.0","27"
"Leche Entera 250ml","75095669844","Lacteos","2026-03-05","Coca Cola","132.54","320"
"Jugo Manzana 200g","75016434028","Bebidas","2027-10-10","Maggi","58.23","391"
"Aceite Aguacate 250g","75045049004","Aceites","2027-02-07","Procter","114.96","171"
"Aceite Aguacate 12u #1049","75065155010","Aceites","2027-08-24","Knorr","117.41","223"
"Cafe Frio 1kg","75046831858","Bebidas","2027-02-14","Kern","31.59","436"
"Pasta Dental 500ml","75096031803","Higiene","2026-11-03","Maggi","119.6","158"
"Suavizante 350ml","75062165529","Limpieza","2027-10-07","Maggi","49.44","364"
"Frijol Rojo 500ml #832","75027506248","Granos","2027-05-27","Bimbo","31.16","86"
"Aguacate 600ml","75040859243","Verduras","2027-09-14","Ducal","47.42","225"
"Sandia 200g","75087493490","Frutas","2026-03-27","Pilsener","106.03","396"
"Cloro #688","75068406480","Limpieza","2027-11-16","Kelloggs","125.81","186"
"Crema Corporal 1kg","75087739426","Higiene","2027-02-13","Lipton","149.4","91"
"Kombucha 350ml","75044447182","Bebidas","2026-01-17","Unilever","65.94","400"
"Jugo Naranja 750ml","75094099681","Bebidas","2026-08-13","Nestle","66.53","58"
"Yogurt Natural 6u","75043889222","Lacteos","2027-10-07","La Costena","43.45","193"
"Uva Verde 600ml","75095344684","Frutas","2026-05-21","Kern","78.98","364"
"Palomitas 750ml","75056611466","Snacks","2027-03-28","Nestle","137.5","397"
"Cebolla 500g","75010833193","Verduras","2026-06-12","McCormick","79.33","33"
"Aguacate 250ml","75046298545","Verduras","2027-12-26","Quaker","16.49","30"
"Coca Cola 350ml","75023684863","Bebidas","2026-10-11","Lipton","96.98","347"
"Quinoa 1u","75019420367","Granos","2027-10-02","McCormick","115.21","467"
"Manteca Vegetal 250ml","75023551020","Aceites","2026-01-12","Bimbo","141.16","171"
"Gatorade 750ml #880","75012125391","Bebidas","2027-01-25","Procter","64.74","269"
"Fresa 12u #970","75055880741","Frutas","2027-12-23","Del Monte","91.74","91"
"Aceite Girasol 3u","75072038325","Aceites","2026-09-16","Coca Cola","135.71","214"
"Pina 2kg","75097057707","Frutas","2026-07-20","Del Monte","38.25","497"
"Carne Molida 200ml","75042006575","Carnes","2026-04-25","Del Monte","28.94","14"
"Jamon Pavo 1kg #943","75059020861","Carnes","2026-12-03","Coca Cola","92.16","288"
"Toallas Humedas 6u","75025598601","Higiene","2027-07-18","Gallo","32.74","34"
"Pan Dulce 500ml","75046893348","Panaderia","2027-05-15","Nestle","67.44","282"
"Pan Integral 200g","75059515646","Panaderia","2026-08-25","Lipton","120.24","89"
"Pasta Dental 250g","75085807532","Higiene","2027-06-19","Parma","123.64","327"
"Tomate 250g","75060443315","Verduras","2027-06-05","Ducal","109.73","224"
"Aceite Vegetal 500ml","75099797607","Aceites","2027-09-21","Kern","76.63","120"
"Tortilla Maiz 500ml","75060815302","Panaderia","2027-10-24","Coca Cola","13.21","173"
"Lechuga 350ml","75072604020","Verduras","2026-07-04","McCormick","102.08","241"
"Mango 500g","75088455284","Frutas","2027-02-25","Kern","48.98","239"
"Fresa 500g","75032891162","Frutas","2026-06-26","Unilever","61.76","216"
"Garbanzo 100g","75086509242","Granos","2027-03-11","Bayer","43.41","13"
"Doritos 750ml","75032173052","Snacks","2027-09-11","Bimbo","119.35","200"
"Leche Entera 100g","75031953289","Lacteos","2027-10-28","Gallo","17.49","123"
"Galletas Oreo 200ml","75058925102","Snacks","2026-12-05","Del Monte","52.23","378"
"Leche Chocolate 6u #818","75095161855","Lacteos","2027-07-03","Procter","124.57","86"
"Kombucha 6u","75012918390","Bebidas","2026-02-19","Ducal","34.94","70"
"Salchicha 1u","75027816825","Carnes","2027-03-16","Kern","12.76","190"
"Leche Chocolate 6u","75019567442","Lacteos","2026-03-03","Coca Cola","131.56","386"
"Maiz Pozolero 500ml","75018440406","Granos","2027-04-11","Maggi","49.07","431"
"Tortilla Maiz 1u","75016067239","Panaderia","2027-09-08","Parma","142.84","164"
"Naranja 250ml","75076801287","Frutas","2027-01-10","Pilsener","38.77","426"
"Tortilla Harina 250ml","75079436393","Panaderia","2027-03-25","Ducal","11.39","194"
"Sandia 1u","75060741194","Frutas","2027-04-09","Kelloggs","51.97","186"
"Enjuague Bucal 250ml","75069824694","Higiene","2027-05-06","Ducal","79.48","328"
"Mango 6u","75080221044","Frutas","2027-11-21","McCormick","95.96","208"
"Bistec Res 2kg","75074932527","Carnes","2027-09-02","Ducal","94.59","49"
"Aceite Canola 250ml #652","75048535546","Aceites","2026-08-21","La Costena","15.99","33"
"Cafe Frio 2kg","75087837183","Bebidas","2027-07-21","Unilever","54.4","383"
"Salchicha 100g","75048583665","Carnes","2026-11-06","Quaker","92.08","390"
"Aceite Girasol 500g #657","75012660226","Aceites","2026-02-01","Gallo","49.8","383"
"Detergente Ropa 250ml","75021124853","Limpieza","2026-10-23","Maggi","49.37","460"
"Aceite Vegetal 1u","75022720701","Aceites","2026-03-22","Unilever","148.93","216"
"Papaya 3u #594","75035433379","Frutas","2027-05-06","Colgate","11.24","283"
"Escoba","75013432017","Limpieza","2027-08-07","Colgate","30.84","347"
"Coca Cola 12u #853","75028101802","Bebidas","2027-07-15","Bimbo","140.23","325"
"Naranja 100g","75084082835","Frutas","2027-09-05","McCormick","81.16","49"
"Frijol Rojo 500ml","75027874901","Granos","2027-10-14","Coca Cola","17.99","500"
"Espinaca 100g","75073577599","Verduras","2026-08-04","McCormick","74.02","44"
"Papel Higienico 250g","75019445293","Higiene","2026-07-12","Quaker","4.72","113"
"Cepillo Dental 250ml","75056620711","Higiene","2027-11-01","Gallo","31.37","33"
"Pan Frances 1u #897","75048222841","Panaderia","2027-08-28","Procter","145.67","489"
"Pan Dulce 1u #911","75041048930","Panaderia","2027-09-27","Pilsener","94.52","294"
"Jabon Platos 2kg","75064593614","Limpieza","2026-06-10","Unilever","127.73","311"
"Te Helado","75084710590","Bebidas","2027-02-05","Maggi","15.29","176"
"Maiz Pozolero 500g #848","75051704390","Granos","2026-01-07","Maggi","3.58","471"
"Pepsi 1kg #459","75031355491","Bebidas","2026-05-15","Coca Cola","134.7","162"
"Uva Verde 250g #964","75081026039","Frutas","2027-08-16","Bimbo","130.85","483"
"Jabon Platos 12u","75084731563","Limpieza","2026-03-24","Kern","13.83","457"
"Acondicionador 2kg","75045534966","Higiene","2027-07-13","Colgate","77.23","353"
"Tocino 100g","75056826735","Carnes","2027-02-05","Quaker","43.29","40"
"Cacahuates 1u #741","75059091967","Snacks","2026-11-19","Pilsener","146.06","26"
"Pepsi #858","75017087934","Bebidas","2026-11-12","Quaker","149.06","459"
"Agua Pura 12u #862","75013435191","Bebidas","2027-12-12","Colgate","147.65","274"
"Papas Fritas 6u","75066548650","Snacks","2027-04-13","Pilsener","111.79","47"
"Pan Dulce 100g","75088769257","Panaderia","2027-02-24","Parma","25.04","424"
"Pina 1u #991","75035503865","Frutas","2026-11-16","Del Monte","22.33","448"
"Baguette 500ml #532","75099665507","Panaderia","2027-01-25","Pilsener","140.65","287"
"Lenteja Roja 500ml","75094860787","Granos","2026-12-14","Nestle","111.8","406"
"Toallas Humedas 3u","75018926098","Higiene","2027-06-28","Knorr","97.53","460"
"Aceite Sesamo 1kg","75011331568","Aceites","2027-08-01","La Costena","119.34","345"
"Arroz Blanco","75055765577","Granos","2026-10-03","Bayer","5.16","267"
"Pan Centeno 2kg","75083525718","Panaderia","2027-10-21","Parma","48.0","297"
"Melon 500ml #600","75095183552","Frutas","2026-03-20","Maggi","93.74","156"
"Galleta Maria 350ml","75025171339","Panaderia","2026-10-22","Del Monte","26.57","423"
"Melon","75099467714","Frutas","2027-03-03","Coca Cola","93.06","408"
"Galleta Maria 2kg","75019816156","Panaderia","2027-11-24","Del Monte","110.39","43"
"Yogurt Natural 1L","75025333250","Lacteos","2027-07-10","Unilever","137.38","258"
"Jugo Naranja 2kg","75099151650","Bebidas","2026-06-17","Ducal","17.61","309"
"Aceite Soya 600ml","75045356723","Aceites","2026-07-25","Procter","53.81","234"
"Baguette 600ml","75032916093","Panaderia","2027-08-19","Knorr","82.7","386"
"Leche Chocolate 1kg","75045232086","Lacteos","2027-06-17","Bayer","26.05","103"
"Espinaca 350ml","75091897945","Verduras","2026-10-16","Colgate","55.07","341"
"Gatorade 500g","75059755556","Bebidas","2026-09-17","McCormick","46.51","492"
"Espinaca 500ml","75082125084","Verduras","2026-12-27","Parma","113.04","484"
"Tortilla Harina 250g","75024347088","Panaderia","2027-12-24","Bayer","138.59","389"
"Cepillo Dental 1kg","75068666137","Higiene","2026-01-02","Procter","31.15","292"
"Crema Corporal 750ml","75052325381","Higiene","2026-04-19","Lipton","136.55","273"
"Kombucha","75089968954","Bebidas","2026-10-06","Kelloggs","139.16","377"
"Bistec Res 250ml","75097301433","Carnes","2026-05-27","Parma","25.34","422"
"Uva Verde 600ml #963","75054245085","Frutas","2026-07-20","Maggi","133.32","458"
"Tocino 350ml #948","75091663104","Carnes","2026-10-13","Bayer","98.01","32"
"Costilla Cerdo 750ml","75066847297","Carnes","2027-11-17","Quaker","90.86","372"
"Aceite Sesamo 600ml","75047952422","Aceites","2027-12-16","Kelloggs","71.97","109"
"Aceite Canola 200g","75012334637","Aceites","2027-09-25","Knorr","138.05","492"
"Aceite Oliva 12u","75056435023","Aceites","2026-12-07","Gallo","132.61","322"
"Leche Entera 200g","75092005876","Lacteos","2026-06-15","Lipton","89.07","438"
"Fresa 250ml","75098912031","Frutas","2027-09-08","La Costena","29.23","326"
"Longaniza 1u","75018709445","Carnes","2026-12-07","Ducal","2.13","240"
"Muslo Pollo 200g","75073133769","Carnes","2026-04-01","Unilever","142.69","266"
"Uva Verde 500g","75072465370","Frutas","2027-12-13","Ducal","130.19","415"
"Yogurt Natural 200ml","75056127246","Lacteos","2026-07-26","Knorr","72.94","150"
"Aceite Maiz 2kg","75096904417","Aceites","2026-01-21","Kelloggs","137.98","456"
"Cebolla 250ml","75069135246","Verduras","2027-02-20","Bayer","41.65","308"
"Chocolates 250g","75081378023","Snacks","2026-06-20","La Costena","77.1","8"
"Limpia Vidrios 600ml","75070298539","Limpieza","2027-05-27","Coca Cola","122.77","201"
"Queso Mozzarella 500g #816","75025694815","Lacteos","2026-06-01","La Costena","123.1","214"
"Mantequilla 1u","75093256063","Lacteos","2026-11-02","Maggi","22.34","191"
"Lechuga 500ml","75090746648","Verduras","2026-12-26","Knorr","123.85","347"
"Limpia Vidrios 1L","75077918166","Limpieza","2026-08-17","Gallo","49.85","470"
"Queso Mozzarella 2kg","75016246777","Lacteos","2026-05-18","La Costena","103.18","311"
"Quinoa 750ml #843","75032519183","Granos","2027-04-20","Knorr","96.07","10"
"Desinfectante 250ml","75022489323","Limpieza","2027-02-21","Nestle","137.67","91"
"Melon 1u","75035742819","Frutas","2026-01-13","Colgate","76.08","239"
"Arroz Blanco 6u","75010780272","Granos","2027-06-07","Del Monte","39.31","56"
"Pina 1kg","75074865752","Frutas","2027-02-27","Nestle","80.39","368"
"Salchicha 250ml","75060696009","Carnes","2027-01-26","Bayer","66.46","34"
"Aceite Sesamo 12u","75035667242","Aceites","2026-05-25","Del Monte","128.32","274"
"Quinoa 500g","75015342963","Granos","2027-03-13","Procter","102.9","417"
"Jabon Bano 500ml #758","75020959532","Higiene","2027-07-09","Parma","86.25","68"
"Cacahuates 100g","75019456696","Snacks","2027-10-20","La Costena","55.66","77"
"Pepino 750ml #1013","75087608971","Verduras","2027-07-21","Knorr","142.62","452"
"Mango 200ml","75090295932","Frutas","2026-07-18","Del Monte","60.77","339"
"Lenteja Roja 500g","75077053215","Granos","2027-04-19","La Costena","60.15","223"
"Fresa 600ml","75036119977","Frutas","2027-12-27","Knorr","134.46","358"
"Naranja","75075812079","Frutas","2027-09-08","Quaker","77.49","346"
"Galleta Maria 1L","75064825596","Panaderia","2026-01-20","Lipton","72.89","340"
"Chocolates 1L","75051512700","Snacks","2026-11-25","McCormick","47.12","186"
"Mantequilla 250ml","75078731106","Lacteos","2026-11-07","Maggi","78.41","157"
"Aceite Soya 250g","75059435363","Aceites","2027-02-05","Colgate","65.08","452"
"Chorizo 250g","75030805791","Carnes","2026-01-02","Gallo","64.16","13"
"Aceite Maiz 12u","75073259924","Aceites","2027-06-09","Nestle","4.33","279"
"Pina 750ml","75010107798","Frutas","2027-03-25","Colgate","113.56","243"
"Pan Integral 500g","75038999714","Panaderia","2026-11-28","Knorr","75.66","335"
"Pan Centeno 3u","75081273160","Panaderia","2026-03-17","Del Monte","132.42","23"
"Jabon Bano 200ml","75039237573","Higiene","2026-04-08","Nestle","87.49","460"
"Pepsi 1L","75068273025","Bebidas","2026-08-07","Kelloggs","43.82","339"
"Chile Jalapeno 500ml","75045255395","Verduras","2027-12-02","Nestle","98.4","293"
"Papel Higienico 3u","75035388477","Higiene","2026-05-13","Bimbo","50.98","392"
"Cebolla 1u","75020999600","Verduras","2027-09-20","Del Monte","28.07","69"
"Pina 500ml","75013766576","Frutas","2026-12-07","Kern","82.94","111"
"Fresa 1u","75043173862","Frutas","2027-09-24","Maggi","93.13","38"
"Uva Verde 1L","75047454305","Frutas","2026-03-13","Maggi","137.24","143"
"Carne Molida 1u","75064935006","Carnes","2027-11-24","Unilever","27.25","216"
"Cebada 250g","75053203888","Granos","2027-09-24","Lipton","80.99","159"
"Avena 350ml","75070297824","Granos","2027-08-17","Quaker","66.01","339"
"Aceite Maiz 350ml","75097668352","Aceites","2026-11-03","Lipton","22.73","129"
"Aceite Coco 200g","75055230431","Aceites","2027-11-10","Parma","83.69","472"
"Pepsi 500ml #462","75019547892","Bebidas","2026-03-15","Colgate","92.96","311"
"Esponja 500g","75096405522","Limpieza","2027-05-15","Parma","43.32","470"
"Cepillo Dental 500ml","75021483292","Higiene","2027-10-17","Nestle","37.19","149"
"Banana 1kg","75071648783","Frutas","2026-01-07","Ducal","93.94","230"
